day,node_id,node_name,population,susceptible,latent,infectious_a,infectious_t,infectious_nt,recovered,foi,exit_rate
0,n118,Kumlinge,300,300,0,0,0,0,0,0.0,28.671233
0,n119,Kuopio,120468,120468,0,0,0,0,0,4e-08,5.225571
0,n120,Kuortane,3700,3700,0,0,0,0,0,1.3e-07,0.148858
0,n121,Kurikka,12100,12100,0,0,0,0,0,4e-08,0.627397
0,n122,Kustavi,900,900,0,0,0,0,0,0.0,0.054795
0,n123,Kuusamo,15500,15500,0,0,0,0,0,0.0,0.651142
0,n124,Kyyj�rvi,1300,1300,0,0,0,0,0,0.0,0.045662
0,n125,Kökar,250,250,0,0,0,0,0,0.0,14.666667
0,n126,K�kar,250,250,0,0,0,0,0,0.0,0.005479
0,n127,K�rk�l�,4700,4700,0,0,0,0,0,0.0,0.210046
0,n128,K�rs�m�ki,2600,2600,0,0,0,0,0,0.0,0.088584
0,n129,Lahti,119958,119958,0,0,0,0,0,3e-08,4.96347
0,n130,Laihia,8200,8200,0,0,0,0,0,0.0,0.303196
0,n131,Laitila,8500,8500,0,0,0,0,0,7e-08,0.345205
0,n132,Lapinj�rvi,2700,2700,0,0,0,0,0,0.0,0.142466
0,n133,Lapinlahti,10000,10000,0,0,0,0,0,0.0,0.399087
0,n134,Lappaj�rvi,3100,3100,0,0,0,0,0,0.0,0.121461
0,n135,Lappeenranta,72877,72877,0,0,0,0,0,3e-08,3.326027
0,n136,Lapua,14800,14800,0,0,0,0,0,0.0,0.514155
0,n137,Larsmo,5500,5500,0,0,0,0,0,0.0,0.153425
0,n138,Laukaa,19100,19100,0,0,0,0,0,0.0,0.888584
0,n139,Lemi,3100,3100,0,0,0,0,0,0.0,0.13242
0,n140,Lemland,2100,2100,0,0,0,0,0,0.0,532.688584
0,n141,Lemp��l�,24600,24600,0,0,0,0,0,1.44e-06,1.333333
0,n142,Lepp�virta,9800,9800,0,0,0,0,0,0.0,0.393607
0,n143,Lestij�rvi,800,800,0,0,0,0,0,0.0,0.022831
0,n144,Lieksa,11200,11200,0,0,0,0,0,0.0,0.36621
0,n145,Lieto,20800,20800,0,0,0,0,0,0.0,0.926027
0,n146,Liminka,10500,10500,0,0,0,0,0,0.0,0.549772
0,n147,Liperi,12600,12600,0,0,0,0,0,4e-08,0.601826
0,n148,Lohja,47200,47200,0,0,0,0,0,0.0,1.809132
0,n149,Loimaa,15900,15900,0,0,0,0,0,1.5e-07,0.582648
0,n150,Loppi,8200,8200,0,0,0,0,0,1.7e-07,0.311416
0,n151,Loviisa,14500,14500,0,0,0,0,0,0.0,0.578995
0,n152,Luhanka,700,700,0,0,0,0,0,0.0,0.024658
0,n153,Lumijoki,2200,2200,0,0,0,0,0,0.0,0.09863
0,n154,Lumparland,400,400,0,0,0,0,0,0.0,80.00274
0,n155,Luum�ki,4600,4600,0,0,0,0,0,0.0,0.217352
0,n156,Malax,5500,5500,0,0,0,0,0,0.0,0.147945
0,n157,Mariehamn,11800,11800,0,0,0,0,0,0.0,771.594521
0,n158,Marttila,1900,1900,0,0,0,0,0,0.0,0.13242
0,n159,Masku,10600,10600,0,0,0,0,0,0.0,0.475799
0,n160,Merij�rvi,1100,1100,0,0,0,0,0,0.0,0.045662
0,n161,Merikarvia,3100,3100,0,0,0,0,0,0.0,0.102283
0,n162,Miehikk�l�,1900,1900,0,0,0,0,0,0.0,0.090411
0,n163,Mikkeli,52485,52485,0,0,0,0,0,0.0,1.899543
0,n164,Muhos,9100,9100,0,0,0,0,0,0.0,0.527854
0,n165,Multia,1700,1700,0,0,0,0,0,0.0,0.079452
0,n166,Muonio,2300,2300,0,0,0,0,0,0.0,0.146119
0,n167,Muurame,10400,10400,0,0,0,0,0,0.0,0.490411
0,n168,Myn�m�ki,8200,8200,0,0,0,0,0,0.0,0.319635
0,n169,Myrskyl�,1900,1900,0,0,0,0,0,0.0,0.117808
0,n170,M�nts�l�,21600,21600,0,0,0,0,0,0.0,1.056621
0,n171,M�ntt�-Vilppula,10100,10100,0,0,0,0,0,2.1e-07,0.368037
0,n172,M�ntyharju,5500,5500,0,0,0,0,0,0.0,0.315068
0,n173,Naantali,19700,19700,0,0,0,0,0,8e-08,0.871233
0,n174,Nakkila,5600,5600,0,0,0,0,0,0.0,0.273973
0,n175,Nivala,11300,11300,0,0,0,0,0,0.0,0.373516
0,n176,Nokia,34400,34400,0,0,0,0,0,3.1e-07,1.684932
0,n177,Nousiainen,4900,4900,0,0,0,0,0,0.0,0.211872
0,n178,Nurmes,7700,7700,0,0,0,0,0,0.0,0.323288
0,n179,Nurmij�rvi,43800,43800,0,0,0,0,0,7e-08,2.461187
0,n180,Nykarleby,7400,7400,0,0,0,0,0,0.0,0.217352
0,n181,N�rpes,9400,9400,0,0,0,0,0,0.0,0.183562
0,n182,Orimattila,16300,16300,0,0,0,0,0,0.0,0.679452
0,n183,Orip��,1300,1300,0,0,0,0,0,0.0,0.074886
0,n184,Orivesi,9500,9500,0,0,0,0,0,2.6e-07,0.420091
0,n185,Oulainen,7600,7600,0,0,0,0,0,0.0,0.322374
0,n186,Oulu,208939,208939,0,0,0,0,0,3e-08,8.075799
0,n187,Outokumpu,6600,6600,0,0,0,0,0,7e-08,0.362557
0,n188,Padasjoki,3100,3100,0,0,0,0,0,0.0,0.120548
0,n189,Paimio,10900,10900,0,0,0,0,0,4e-08,0.484932
0,n190,Paltamo,3500,3500,0,0,0,0,0,0.0,0.161644
0,n191,Pargas,15000,15000,0,0,0,0,0,0.0,0.482192
0,n192,Parikkala,4200,4200,0,0,0,0,0,0.0,0.145205
0,n193,Parkano,6600,6600,0,0,0,0,0,0.0,0.255708
0,n194,Peders�re,11200,11200,0,0,0,0,0,0.0,0.358904
0,n195,Pelkosenniemi,900,900,0,0,0,0,0,0.0,0.085845
0,n196,Pello,3500,3500,0,0,0,0,0,0.0,0.128767
0,n197,Perho,2800,2800,0,0,0,0,0,0.0,0.115982
0,n198,Pet�j�vesi,4000,4000,0,0,0,0,0,0.0,0.162557
0,n199,Pieks�m�ki,17800,17800,0,0,0,0,0,0.0,0.577169
0,n200,Pielavesi,4600,4600,0,0,0,0,0,0.0,0.145205
0,n201,Pihtipudas,4000,4000,0,0,0,0,0,0.0,0.133333
0,n202,Pirkkala,20200,20200,0,0,0,0,0,3.1e-07,1.222831
